# Gene Family	E0000355_Abundance-RPKs	E0000361_Abundance-RPKs	E0000362_Abundance-RPKs	E0000369_Abundance-RPKs	E0000376_Abundance-RPKs	E0000378_Abundance-RPKs	E0000382_Abundance-RPKs	E0000393_Abundance-RPKs	E0000404_Abundance-RPKs	E0000410_Abundance-RPKs	E0000416_Abundance-RPKs	E0000418_Abundance-RPKs	E0000419_Abundance-RPKs	E0000420_Abundance-RPKs	E0000426_Abundance-RPKs	E0000428_Abundance-RPKs	E0000432_Abundance-RPKs	E0000433_Abundance-RPKs	E0000435_Abundance-RPKs	E0000442_Abundance-RPKs	E0000466_Abundance-RPKs	E0000467_Abundance-RPKs	E0000471_Abundance-RPKs	E0000478_Abundance-RPKs	E0000480_Abundance-RPKs	E0000482_Abundance-RPKs	E0000488_Abundance-RPKs	E0000490_Abundance-RPKs	E0000495_Abundance-RPKs	E0000498_Abundance-RPKs	E0000501_Abundance-RPKs	E0000502_Abundance-RPKs	E0000516_Abundance-RPKs	E0000520_Abundance-RPKs	E0000521_Abundance-RPKs	E0000522_Abundance-RPKs	E0000527_Abundance-RPKs	E0000531_Abundance-RPKs	E0000537_Abundance-RPKs	E0000539_Abundance-RPKs	E0000540_Abundance-RPKs	E0001336_Abundance-RPKs	E0001340_Abundance-RPKs	E0001346_Abundance-RPKs	PV101516_Abundance-RPKs	PV101570_Abundance-RPKs	PV101581_Abundance-RPKs	PV101643_Abundance-RPKs	PV101656_Abundance-RPKs	PV101894_Abundance-RPKs	PV101895_Abundance-RPKs	PV101929_Abundance-RPKs	PV101945_Abundance-RPKs	PV101948_Abundance-RPKs	PV101962_Abundance-RPKs	PV102349_Abundance-RPKs	PV102418_Abundance-RPKs	PV102462_Abundance-RPKs	PV102474_Abundance-RPKs	PV102574_Abundance-RPKs	PV102580_Abundance-RPKs	PV19497_Abundance-RPKs	PV19551_Abundance-RPKs	PV19565_Abundance-RPKs	PV19588_Abundance-RPKs	PV19658_Abundance-RPKs	PV19708_Abundance-RPKs	PV19755_Abundance-RPKs	PV19834_Abundance-RPKs	PV19855_Abundance-RPKs	PV19856_Abundance-RPKs	PV19882_Abundance-RPKs	PV19936_Abundance-RPKs	PV19942_Abundance-RPKs	PV19991_Abundance-RPKs	PV20005_Abundance-RPKs	PV20541_Abundance-RPKs	PV20544_Abundance-RPKs	PV20615_Abundance-RPKs	PV21638_Abundance-RPKs	PV21671_Abundance-RPKs	PV21690_Abundance-RPKs	PV21772_Abundance-RPKs	PV21813_Abundance-RPKs	PV21876_Abundance-RPKs	PV23791_Abundance-RPKs	PV23961_Abundance-RPKs	PV24015_Abundance-RPKs	PV49580_Abundance-RPKs
K01468	1898.547	2414.824	3055.877	1126.366	1720.238	4783.552	1454.897	8175.253	6002.178	3782.869	467.705	2577.327	4834.659	3179.198	1743.631	572.136	7954.808	675.552	2047.061	4663.997	955.979	2347.047	1291.147	2248.057	2786.123	565.587	2644.299	6196.401	3049.716	584.533	5668.673	2215.982	5643.908	702.449	2502.261	5522.73	1673.137	1139.733	414.325	5222.331	7705.853	2666.341	2216.322	187.482	2151.642	2747.328	7560.447	210.626	3726.518	837.475	1520.72	3863.771	2248.24	674.177	357.964	1168.284	6906.42	2106.739	4558.343	113.491	5754.903	736.844	1370.918	597.935	817.355	5313.929	547.723	2484.618	528.681	7121.859	6610.103	2372.398	2664.688	1448.625	1465.696	3949.361	68.38	6582.331	2881.565	405.179	157.501	10108.781	3959.291	2802.636	535.151	794.853	1078.543	5846.297	2811.803
K01470	3.361	124.915	93.962	30.849	99.913	41.531	10.084	4938.551	82.912	65.217	85.248	25.003	1064.395	338.897	4.564	55.462	107.74	89.066	67.935	686.444	34.426	117.667	112.962	20.388	22.86	22.738	81.251	35.067	146.537	4.824	1528.084	40.213	86.987	34.235	581.816	527.868	106.078	57.779	9.317	2091.937	584.276	181.099	84.568	4.918	518.006	213.757	30.995	63.689	409.077	3.279	128.131	127.466	0	227.823	94.416	58.586	455.311	201.342	75.041	41.46	445.278	233.302	3.279	0	16.361	20.085	138.775	22.722	21.602	85.689	37.086	39.192	20.168	18.326	276.404	337.237	26.792	487.688	16.354	8.403	0	290.006	43.204	30.852	1.639	0	62.132	5.042	280.497
K01476	37.116	153.23	144.592	81.422	65.674	110.011	147.083	0	186.961	38.447	10.043	68.948	0	0	125.404	51.546	0	0	0	136.231	52.661	34.625	48.041	0	116.82	1.435	183.683	0	38.737	8.312	175.4	0	124.791	4.304	92.414	85.299	31.29	40.096	1.435	50.894	419.207	80.789	35.717	9.629	22.956	97.606	686.99	12.912	71.833	0	84.11	109.556	28.694	28.983	24.818	54.574	75.967	13.755	0	15.657	176.429	241.394	1.435	35.953	41.917	89.034	29.092	104.048	29.004	73.022	79.567	138.999	0	0	98.594	160.217	1.381	201.595	12.912	49.648	13.992	0	35.158	44.045	39.668	14.347	52.505	0	52.684
K01478	23.128	705.603	20.307	68.38	92.159	61.062	375.201	14.861	26.116	116.935	78.84	69.735	7.401	0	157.373	3.524	1.866	526.808	79.448	97.398	170.002	29.823	99.959	328.041	99.145	133.244	22.414	103.476	107.343	140.948	124.685	124.827	0	164.521	10.261	22.31	107.045	146.673	55.527	84.882	47.986	23.589	87.925	27.532	68.419	171.113	0	34.687	125.995	301.772	281.773	131.335	149.345	20.455	13.721	438.715	1.85	25.846	97.55	41.034	52.085	0	117.083	47.389	123.844	92.435	29.909	199.01	101.973	59.91	706.753	81.886	12.951	94.313	145.743	28.188	27.81	26.116	139.186	14.229	118.058	1.866	463.366	47.707	744.894	159.163	33.656	37.18	86.298
K01479	32.007	29.554	80.887	14.77	22.629	13.587	53.194	2.37	9.901	0	185.264	78.75	112.422	0	0	0	0	372.677	0	33.134	50.119	14.489	0	2.37	2.475	28.139	0	0	2.475	174.834	23.515	0	0	9.56	0	0	0	21.404	0	0	129.88	5.977	2.448	12.001	0	0	0	0	11.854	2.37	0	2.37	0	0	0	96.754	4.896	8.636	7.109	40.625	14.851	0	0	2.37	25.835	0	0	32.383	4.769	0	105.03	0	9.479	0	3.552	2.475	17.561	52.816	0	12.084	8.558	0	7.226	4.69	62.668	0	4.739	1.185	0
K01480	3030.369	1518.522	1612.067	1430.148	2228.394	1481.014	1260.44	1.295	161.47	761.359	1528.155	1225.885	2315.12	2225.686	1220.713	598.22	71.04	1942.934	1294.6	1598.312	1061.795	1022.757	1325.44	544.92	1934.425	1289.795	3990.067	112.986	1310.443	347.515	268.39	1197.539	707.925	2093.749	987.14	1621.722	665.905	1327.187	707.051	281.385	520.056	1075.929	2751.968	789.092	659.215	97.975	10.363	194.213	884.989	259.278	1684.705	1331.869	848.911	578.97	247.724	885.517	853.349	994.958	1849.829	683.225	1011.965	815.425	1589.447	574.494	1247.753	686.582	876.708	1551.242	1059.836	233.826	1477.782	2091.616	1106.033	1032.65	357.265	2122.412	185.384	1669.551	230.599	2478.59	393.951	21.926	1242.432	1195.533	1601.669	1401.074	1708.624	912.134	2839.708
K01482	0	35.032	0	0	7.962	6.369	3.185	0	0	0	11.146	4.777	0	0	9.554	0	0	17.516	3.185	9.554	0	9.554	9.554	41.401	9.554	0	1.592	3.185	0	0	0	20.701	0	0	0	1.592	22.144	4.777	6.369	14.331	0	0	19.108	6.369	4.777	15.924	0	3.185	33.158	42.994	33.439	4.777	0	0	0	9.503	0	0	19.108	1.592	6.369	0	0	0	22.293	0	0	23.885	0	0	19.108	0	0	0	34.864	0	1.592	4.777	0	0	7.962	0	90.764	0	0	6.369	0	0	19.108
K01483	0	0	242.081	0	0	170.542	2.994	11.719	73.681	0	46.836	13.801	97.425	5.988	0	38.466	35.422	289.782	87.112	54.804	35.156	0	34.369	108.558	105.508	84.628	11.976	8.982	3.906	26.432	187.912	20.701	209.554	1633.565	30.595	15.882	10.807	68.09	0	66.572	381.906	31.925	18.592	33.469	10.807	2.994	15.625	22.327	34.501	0	24.864	8.982	2.994	25.908	0	78.752	0	399.443	16.795	39.925	63.927	0	47.132	0	0	0	2.994	32.934	382.19	41.916	284.689	519.982	0	110.007	0	52.732	27.858	2.994	0	1659.949	35.414	14.713	0	0	1092.572	2.809	5.988	0	1261.691
K01484	11.715	8.355	117.992	0	0	124.559	0	10.879	20.899	0	15.063	7.493	62.758	6.695	2.51	15.063	35.983	160.494	39.326	34.303	27.615	1.674	15.01	118.517	28.422	35.964	0	2.51	1.674	16.631	107.904	10.837	116.968	738.299	17.547	13.332	10.879	26.651	0	56.87	165.579	15.9	5.858	12.552	0.837	0	8.368	6.627	18.41	0	10.042	8.358	0	12.512	1.674	33.42	0	173.06	0.837	16.736	20.04	0	16.736	0	0	0	1.674	25.105	282.651	17.573	386.112	526.103	0	86.817	0	25.105	14.239	1.674	0	1012.64	20.921	19.247	0	0	517.777	35.983	4.184	0	635.622
K01485	38.351	106.675	333.791	44.119	3.591	236.19	75.924	8.788	95.847	0	207.86	184.07	220.285	53.392	9.874	29.067	2.513	737.902	63.183	86.238	103.959	59.639	13.147	174.729	45.475	169.357	9.669	10.446	17.999	9.0	189.27	14.966	232.213	1514.378	91.084	95.912	7.884	131.975	8.066	66.826	440.231	24.141	29.603	21.056	11.362	4.382	10.492	47.957	35.959	3.527	270.418	9.593	0.881	48.069	0	260.811	20.561	484.112	13.282	104.858	102.361	0.898	13.204	0	27.353	0	9.662	80.12	413.873	5.963	579.263	424.858	84.253	143.4	13.569	50.673	35.477	71.907	0	1424.423	84.262	14.931	0	0	850.294	18.468	96.38	3.591	1526.395
