clade_name	clade_taxid	E0000355	E0000361	E0000362	E0000369	E0000376	E0000378	E0000382	E0000393	E0000404	E0000410	E0000416	E0000418	E0000419	E0000420	E0000426	E0000428	E0000432	E0000433	E0000435	E0000442	E0000466	E0000467	E0000471	E0000478	E0000480	E0000482	E0000488	E0000490	E0000495	E0000498	E0000501	E0000502	E0000516	E0000520	E0000521	E0000522	E0000527	E0000531	E0000537	E0000539	E0000540	E0001336	E0001340	E0001346	PV101516	PV101570	PV101581	PV101643	PV101656	PV101894	PV101895	PV101929	PV101945	PV101948	PV101962	PV102349	PV102418	PV102462	PV102474	PV102574	PV102580	PV19497	PV19551	PV19565	PV19588	PV19658	PV19708	PV19755	PV19834	PV19855	PV19856	PV19882	PV19936	PV19942	PV19991	PV20005	PV20541	PV20544	PV20615	PV21638	PV21671	PV21690	PV21772	PV21813	PV21876	PV23791	PV23961	PV24015	PV49580
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_CAG_579	2|1239|186801|186802|541000|1263|1262963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.37122	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium	2|1239|186801|186802|541000|1905344	0.01983	0.04163	0.0944	0.04085	0.10126	0.01991	0.05468	0.02475	0.04131	0.08738	0.02272	0.0472	0	0.00766	0.10964	0.01087	0.26381	0.02236	0.12221	0.45444	0.01209	0.14749	0.01186	1.12009	0.10457	0.07494	0.01335	0.85391	0.04792	0.01501	0.03565	0.11033	0.44019	0.01813	0.02807	0.03739	0.23704	0.03822	0.02401	0.20961	0	0.06757	0.15068	0.08403	0.20177	0.41857	2.09119	0.15285	0.5321	0.01856	0.05049	0.0274	1.74985	0.00835	0.02085	0.09741	0	0.11968	0.01234	0.01269	0.05552	0.00167	0	0.02764	0	2.2783	0.03452	0.06729	0.14212	0.18732	0.10181	0.1947	0.19798	0.12869	0.19928	0.16526	0.03117	0.0454	0.05828	0.00428	0.00747	0.40778	0.22971	0.01581	0.0532	0.04944	0.05101	0.12641	0.02495
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium|s__Ruthenibacterium_lactatiformans	2|1239|186801|186802|541000|1905344|1550024	0.01983	0.04163	0.0944	0.04085	0.10126	0.01991	0.05468	0.02475	0.04131	0.08738	0.02272	0.0472	0	0.00766	0.10964	0.01087	0.26381	0.02236	0.12221	0.45444	0.01209	0.14749	0.01186	1.12009	0.10457	0.07494	0.01335	0.85391	0.04792	0.01501	0.03565	0.11033	0.44019	0.01813	0.02807	0.03739	0.23704	0.03822	0.02401	0.20961	0	0.06757	0.15068	0.08403	0.20177	0.41857	2.09119	0.15285	0.5321	0.01856	0.05049	0.0274	1.74985	0.00835	0.02085	0.09741	0	0.11968	0.01234	0.01269	0.05552	0.00167	0	0.02764	0	2.2783	0.03452	0.06729	0.14212	0.18732	0.10181	0.1947	0.19798	0.12869	0.19928	0.16526	0.03117	0.0454	0.05828	0.00428	0.00747	0.40778	0.22971	0.01581	0.0532	0.04944	0.05101	0.12641	0.02495
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.76884	0.01967	0.11759	0.04249	0.05081	0.02128	0.03848	0.40836	0.10936	0.0191	0.48806	0.01764	0.08047	0.0449	0.04051	0.05371	1.20849	0.0423	0.06356	0.85564	0.05265	0.28132	0.30884	2.03862	0.15454	0.02471	0.09256	0.81532	0.02037	0.43749	0.4567	0.11621	0.16743	0	0.06866	0.01936	0.0328	0.33301	0.00115	2.54693	0.40216	0.04863	0.12498	0.02313	0.22062	0.03112	0.1469	1.00395	0.37855	0.02933	0.13043	1.4083	0.40329	0.01306	0.03266	1.04694	0.02429	0.03419	0.01891	1.27893	3.50298	0.01766	0.0434	3.78172	0.02837	0.00671	0.02104	0.08973	0.40214	0.06332	0.02829	0.30046	0.02193	0.05134	0.18159	0.06938	0.52106	0.08156	0.02488	0.0565	0.0486	0.00822	0.12238	0.02391	0.00861	0.54278	1.94672	0.16995	0.00062
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.76884	0.01967	0.11759	0.04249	0.05081	0.02128	0.03848	0.40836	0.10936	0.0191	0.48806	0.01764	0.08047	0.0449	0.04051	0.05371	1.20849	0.0423	0.06356	0.85564	0.05265	0.28132	0.30884	2.03862	0.15454	0.02471	0.09256	0.81532	0.02037	0.43749	0.4567	0.11621	0.16743	0	0.06866	0.01936	0.0328	0.33301	0.00115	2.54693	0.40216	0.04863	0.12498	0.02313	0.22062	0.03112	0.1469	1.00395	0.37855	0.02933	0.13043	1.4083	0.40329	0.01306	0.03266	1.04694	0.02429	0.03419	0.01891	1.27893	3.50298	0.01766	0.0434	3.78172	0.02837	0.00671	0.02104	0.08973	0.40214	0.06332	0.02829	0.30046	0.02193	0.05134	0.18159	0.06938	0.52106	0.08156	0.02488	0.0565	0.0486	0.00822	0.12238	0.02391	0.00861	0.54278	1.94672	0.16995	0.00062
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	0.76884	0.01967	0.11759	0.04249	0.05081	0.02128	0.03848	0.40836	0.10936	0.0191	0.48806	0.01764	0.08047	0.0449	0.04051	0.05371	1.20849	0.0423	0.06356	0.85564	0.05265	0.28132	0.30884	2.03862	0.15454	0.02471	0.09256	0.81532	0.02037	0.43749	0.4567	0.11621	0.16743	0	0.06866	0.01936	0.0328	0.33301	0.00115	2.54693	0.40216	0.04863	0.12498	0.02313	0.22062	0.03112	0.1469	1.00395	0.37855	0.02933	0.13043	1.4083	0.40329	0.01306	0.03266	1.04694	0.02429	0.03419	0.01891	1.27893	3.50298	0.01766	0.0434	3.78172	0.02837	0.00671	0.02104	0.08973	0.40214	0.06332	0.02829	0.30046	0.02193	0.05134	0.18159	0.06938	0.52106	0.08156	0.02488	0.0565	0.0486	0.00822	0.12238	0.02391	0.00861	0.54278	1.94672	0.16995	0.00062
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Absiella	2|1239|526524|526525|128827|2057233	0	0	0.00016	0	0.0032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00736	0.00574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00939	0.06154	0	0	0	0.00575	0	0	0	0	0.6928	0	0	0	0	0	0	0	0	0	0.00724	0	0	0	0	0.0004	0.00642	0	0	0	0	0.01084	0	0	0.00168	0	0.00439	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Absiella|s__Absiella_dolichum	2|1239|526524|526525|128827|2057233|31971	0	0	0.00016	0	0.0032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00736	0.00574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00939	0.06154	0	0	0	0.00575	0	0	0	0	0.6928	0	0	0	0	0	0	0	0	0	0.00724	0	0	0	0	0.0004	0.00642	0	0	0	0	0.01084	0	0	0.00168	0	0.00439	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Bulleidia	2|1239|526524|526525|128827|118747	0	0	0.00025	0	0	0	0	0	0	0	0.00059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Bulleidia|s__Bulleidia_extructa	2|1239|526524|526525|128827|118747|118748	0	0	0.00025	0	0	0	0	0	0	0	0.00059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
